Name,Classification
Actinidia chinensis,eudicotyledons
Aegilops tauschii,Liliopsida
Amborella trichopoda,Amborellales
Ananas comosus,Liliopsida
Arabidopsis halleri,eudicotyledons
Arabidopsis lyrata,eudicotyledons
Arabidopsis thaliana,eudicotyledons
Arabis alpina,eudicotyledons
Asparagus officinalis,Liliopsida
Avena sativa OT3098,Liliopsida
Avena sativa Sang,Liliopsida
Beta vulgaris,eudicotyledons
Brachypodium distachyon,Liliopsida
Brassica juncea,eudicotyledons
Brassica napus,eudicotyledons
Brassica oleracea,eudicotyledons
Brassica rapa ro18,eudicotyledons
caenorhabditis elegans,Nematoda
Cajanus cajan,eudicotyledons
Camelina sativa,eudicotyledons
Cannabis sativa female,eudicotyledons
Capsicum annuum,eudicotyledons
Chara braunii,Streptophyta
Chenopodium quinoa,eudicotyledons
Chlamydomonas reinhardtii,Chlorophyta
Chondrus crispus,Rhodophyta
ciona savignyi,Ascidiacea 
Citrullus lanatus,eudicotyledons
Citrus clementina,eudicotyledons
Coffea canephora,eudicotyledons
Corchorus capsularis,eudicotyledons
Corylus avellana,eudicotyledons
Corymbia citriodora,eudicotyledons
Cucumis melo,eudicotyledons
Cucumis sativus,eudicotyledons
Cyanidioschyzon merolae,Rhodophyta
Cynara cardunculus,eudicotyledons
Daucus carota,eudicotyledons
Digitaria exilis,Liliopsida
Dioscorea rotundata,Liliopsida
drosophila melanogaster,Insecta
Echinochloa crusgalli,Liliopsida
Eragrostis curvula,Liliopsida
Eragrostis tef,Liliopsida
Eucalyptus grandis,eudicotyledons
Eutrema salsugineum,eudicotyledons
Ficus carica,eudicotyledons
Fraxinus excelsior,eudicotyledons
Galdieria sulphuraria,Rhodophyta
Glycine max,eudicotyledons
Glycine soja,eudicotyledons
Gossypium raimondii,eudicotyledons
Helianthus annuus,eudicotyledons
Hordeum vulgare,Liliopsida
Ipomoea triloba,eudicotyledons
Juglans regia,eudicotyledons
Kalanchoe fedtschenkoi,eudicotyledons
Lactuca sativa,eudicotyledons
Leersia perrieri,Liliopsida
Lolium perenne,Liliopsida
Lupinus angustifolius,eudicotyledons
Malus domestica Golden,eudicotyledons
Manihot esculenta,eudicotyledons
Marchantia polymorpha,Embryophyta
Medicago truncatula,eudicotyledons
Musa acuminata,Liliopsida
Nicotiana attenuata,eudicotyledons
Nymphaea colorata,Embryophyta
Olea europaea,eudicotyledons
Olea europaea var. sylvestris,eudicotyledons
