file	1stisof	occup	seqs	mode_len	SE_len	mode_exons	SE_exons	mode_dist	max_dist	SE_dist	sites	Ca 	Cr_max 	Cr_min	Cc_max	Cc_min 	Cij_max	Cij_min
LOC_Os01g09090.cds.faa	1	3	3	129	5	1	0.3	0	0.517544	0.1	137	0.905109	0.941606	0.832117	1	0.333333	0.941606	0.773723
LOC_Os01g38570.cds.faa	1	3	3	80	0	1	0	0	0.05	0	80	1	1	1	1	1	1	1
LOC_Os01g16460.cds.faa	1	3	3	162	0	3	0	0	0	0	162	1	1	1	1	1	1	1
LOC_Os01g20800.cds.faa	1	4	4	91	0	2	0	0	0	0	91	1	1	1	1	1	1	1
LOC_Os01g32650.cds.faa	1	3	3	88	0	1	0	0	0	0	88	1	1	1	1	1	1	1
LOC_Os01g14770.cds.faa	1	3	3	124	18.7	4	0.7	0	0.823529	0.1	132	0.79798	0.939394	0.515152	1	0.333333	0.939394	0.454545
LOC_Os01g08610.cds.faa	1	9	9	123	3.1	2	0	0	0.115789	0	123	0.974706	1	0.772358	1	0.888889	1	0.772358
LOC_Os01g43560.cds.faa	1	9	9	79	1.8	2	0	0	0.044776	0	79	0.966245	1	0.848101	1	0.777778	1	0.848101
LOC_Os01g04270.cds.faa	1	12	12	79	0	1	0	0	0.063291	0	79	1	1	1	1	1	1	1
LOC_Os01g38058.cds.faa	1	4	4	126	0.9	2	0	0.02439	0.02439	0	126	0.988095	1	0.97619	1	0.5	1	0.97619
LOC_Os01g39870.cds.faa	1	12	12	89	1.8	2	0	0.033708	0.11236	0	110	0.825	1	0.809091	1	0.083333	0.809091	0.809091
Os01g0115300.cds.faa	1	3	3	458	57.7	3	0.3	0	0.178947	0	458	0.87409	1	0.622271	1	0.666667	1	0.622271
LOC_Os01g39340.cds.faa	1	6	6	75	5.3	2	0.2	0	0.106667	0	100	0.833333	1	0.75	1	0.333333	1	0.75
LOC_Os01g43570.cds.faa	1	10	10	105	0	1	0	0	0	0	105	1	1	1	1	1	1	1
LOC_Os01g41110.cds.faa	1	5	5	103	1.2	2	0	0	0.048544	0	109	0.955963	1	0.944954	1	0.2	0.944954	0.944954
LOC_Os01g18790.cds.faa	1	8	8	149	0	2	0	0	0.060403	0	149	1	1	1	1	1	1	1
LOC_Os01g28220.cds.faa	1	10	10	100	2.3	1	0.2	0.070588	0.070588	0	100	0.955	1	0.85	1	0.7	1	0.85
LOC_Os01g39230.cds.faa	1	7	7	121	7.7	2	0	0	0.280992	0	179	0.719074	0.977654	0.675978	1	0.142857	0.675978	0.653631
LOC_Os01g17440.cds.faa	1	12	12	290	13.1	2	0.1	0	0.181818	0	305	0.850273	0.95082	0.64918	1	0.333333	0.95082	0.6
LOC_Os01g25150.cds.faa	1	9	9	69	8.9	3	0.2	0	0.153846	0	132	0.679293	0.94697	0.522727	1	0.222222	0.94697	0.522727
gene:OsNip_01G022690.cds.faa	1	16	16	61	5.6	1	0.1	0.016393	0.04918	0	117	0.611111	1	0.521368	1	0.1875	1	0.521368
