transcript	source	gene_id	species	Pan.id	V4	V5	V6	V12	V13	merged.or.gene_id	taxa_size	accession	ipr_check	pfam_check
LOC_Os01g01430.1	Hmmer	LOC_Os01g01430	Nipponbare(MSU)	Os4530.POR.1.pan0000758	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0104200	16	Nipponbare	1	0
LOC_Os01g01430.1	Hmmer	LOC_Os01g01430	Nipponbare(MSU)	Os4530.POR.1.pan0000758	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0104200	16	Nipponbare	1	1
LOC_Os01g01430.1	Hmmer	LOC_Os01g01430	Nipponbare(MSU)	Os4530.POR.1.pan0000758	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0104200	16	Nipponbare	1	0
LOC_Os01g01430.1	Hmmer	LOC_Os01g01430	Nipponbare(MSU)	Os4530.POR.1.pan0000758	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0104200	16	Nipponbare	1	0
LOC_Os01g01470.1	Hmmer	LOC_Os01g01470	Nipponbare(MSU)	Os4530.POR.1.pan0000760	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0104500	16	Nipponbare	1	1
LOC_Os01g01470.1	Hmmer	LOC_Os01g01470	Nipponbare(MSU)	Os4530.POR.1.pan0000760	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0104500	16	Nipponbare	1	0
LOC_Os01g01470.1	Hmmer	LOC_Os01g01470	Nipponbare(MSU)	Os4530.POR.1.pan0000760	ProSiteProfiles	PS51005	NAC domain profile.	IPR003441	NAC domain	Os01g0104500	16	Nipponbare	1	0
LOC_Os01g01470.1	Hmmer	LOC_Os01g01470	Nipponbare(MSU)	Os4530.POR.1.pan0000760	Gene3D	G3DSA:2.170.150.80	NAC domain	IPR036093	NAC domain superfamily	Os01g0104500	16	Nipponbare	1	0
LOC_Os01g09550.1	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	SUPERFAMILY	SSF101941	NAC domain	IPR036093	NAC domain superfamily	Os01g0191300	16	Nipponbare	1	0
LOC_Os01g09550.1	Hmmer	LOC_Os01g09550	Nipponbare(MSU)	Os4530.POR.1.pan0001210	Pfam	PF02365	No apical meristem (NAM) protein	IPR003441	NAC domain	Os01g0191300	16	Nipponbare	1	1
